Price,Close,High,Low,Open,Volume
Ticker,GME,GME,GME,GME,GME
Date,,,,,
2025-06-24,23.290000915527344,23.329999923706055,22.850000381469727,23.030000686645508,11660200
2025-06-25,23.549999237060547,23.690000534057617,23.049999237060547,23.3799991607666,9840700
2025-06-26,23.8799991607666,24.059999465942383,23.299999237060547,23.399999618530273,8778000
2025-06-27,23.59000015258789,24.260000228881836,23.459999084472656,23.989999771118164,11638200
2025-06-30,24.389999389648438,24.399999618530273,23.540000915527344,23.639999389648438,10439300
