Price,Close,High,Low,Open,Volume
Ticker,GAIN,GAIN,GAIN,GAIN,GAIN
Date,,,,,
2025-11-07,13.908721923828125,13.948489497486422,13.74965162919494,13.878896480617838,101900
2025-11-10,13.799361228942871,13.958431522373079,13.72976821260059,13.938548209761173,101300
2025-11-11,13.799361228942871,13.888838506030798,13.719826082227767,13.769535785958142,95700
2025-11-12,13.89877986907959,13.948489573456639,13.779477147454921,13.79936140845924,177900
2025-11-13,13.759593963623047,13.938548521805178,13.73970970243225,13.898779999423585,88800
2025-11-14,13.690000534057617,13.769535680161622,13.540871424012309,13.739709289272323,102900
2025-11-17,13.550000190734863,13.75,13.550000190734863,13.619999885559082,169000
2025-11-18,13.649999618530273,13.710000038146973,13.520000457763672,13.529999732971191,88500
2025-11-19,13.579999923706055,13.739999771118164,13.539999961853027,13.699999809265137,137500
2025-11-20,13.609999656677246,13.75,13.550000190734863,13.579999923706055,96200
